region,year,tourism_nights
ITC4,2019.0,12090522.0
ITF1,2019.0,3552244.0
ITF2,2019.0,247154.0
ITF3,2019.0,8795966.0
ITF4,2019.0,6917046.0
ITF5,2019.0,1695793.0
ITF6,2019.0,5781396.0
ITG1,2019.0,5721570.0
ITG2,2019.0,5135957.0
ITH1,2019.0,7861183.0
ITH2,2019.0,8057768.0
ITH3,2019.0,11506046.0
ITH4,2019.0,2043497.0
ITH5,2019.0,23296467.0
ITI1,2019.0,10578281.0
ITI2,2019.0,2134886.0
ITI3,2019.0,3924573.0
ITI4,2019.0,9269391.0
LI00,2019.0,2030.0
LT01,2019.0,437863.0
LT02,2019.0,1473044.0
LU00,2019.0,200054.0
LV00,2019.0,1035966.0
MK00,2019.0,476145.0
MT00,2019.0,467354.0
NL11,2019.0,616920.0
NL12,2019.0,1295527.0
NL13,2019.0,796636.0
NL21,2019.0,1487961.0
NL22,2019.0,2777309.0
NL23,2019.0,262007.0
NL31,2019.0,1341480.0
NL32,2019.0,6446189.0
NL33,2019.0,3777091.0
NL34,2019.0,862590.0
NL41,2019.0,2220157.0
NL42,2019.0,2388202.0
PL21,2019.0,5930848.0
PL22,2019.0,3332417.0
PL41,2019.0,2232202.0
PL42,2019.0,2786653.0
PL43,2019.0,627843.0
PL51,2019.0,4772524.0
PL52,2019.0,490939.0
PL61,2019.0,1478235.0
PL62,2019.0,1922064.0
PL63,2019.0,3622595.0
PL71,2019.0,1691115.0
PL72,2019.0,1020438.0
PL81,2019.0,1202941.0
PL82,2019.0,1438882.0
PL84,2019.0,660606.0
PL91,2019.0,4513328.0
PL92,2019.0,903858.0
PT11,2019.0,3584256.0
PT15,2019.0,4666648.0
PT16,2019.0,3246454.0
PT17,2019.0,3320969.0
PT18,2019.0,1356297.0
PT20,2019.0,872053.0
PT30,2019.0,856952.0
RO11,2019.0,2419345.0
RO12,2019.0,3730468.0
RO21,2019.0,1551805.0
RO22,2019.0,5373249.0
RO31,2019.0,1570117.0
RO32,2019.0,1530750.0
RO41,2019.0,1750058.0
RO42,2019.0,1598871.0
SE11,2019.0,8990008.0
SE12,2019.0,3528966.0
SE21,2019.0,2318383.0
SE22,2019.0,3651905.0
SE23,2019.0,5593121.0
SE31,2019.0,2336227.0
SE32,2019.0,1483606.0
SE33,2019.0,1741820.0
SI03,2019.0,1232801.0
SI04,2019.0,903991.0
SK01,2019.0,753939.0
SK02,2019.0,1519973.0
SK03,2019.0,2850263.0
SK04,2019.0,2114255.0
TR10,2019.0,8612751.0
TR21,2019.0,1430708.0
TR22,2019.0,4001833.0
TR31,2019.0,4250658.0
TR32,2019.0,7209132.0
TR33,2019.0,3828690.0
TR41,2019.0,3523601.0
TR42,2019.0,3567531.0
TR51,2019.0,3907853.0
TR52,2019.0,1550158.0
TR61,2019.0,12240983.0
TR62,2019.0,3713880.0
TR63,2019.0,1833801.0
TR71,2019.0,2163045.0
TR72,2019.0,1474612.0
TR81,2019.0,1136235.0
TR82,2019.0,918693.0
TR83,2019.0,1796551.0
TR90,2019.0,2426150.0
TRA1,2019.0,1234090.0
TRA2,2019.0,734551.0
TRB1,2019.0,992202.0
TRB2,2019.0,1232253.0
TRC1,2019.0,1457576.0
TRC2,2019.0,1768492.0
TRC3,2019.0,1110587.0
HR04,2019.0,1984833.0
FRY5,2019.0,100423.0
AL01,2020.0,148755.0
AL02,2020.0,164554.0
AL03,2020.0,416350.0
AT11,2020.0,1086774.0
AT12,2020.0,2053673.0
AT13,2020.0,1138689.0
AT21,2020.0,2923843.0
AT22,2020.0,3957201.0
AT31,2020.0,1949109.0
AT32,2020.0,3211278.0
AT33,2020.0,2395509.0
AT34,2020.0,527131.0
BE10,2020.0,468122.0
BE21,2020.0,397272.0
BE22,2020.0,296260.0
BE23,2020.0,244980.0
BE24,2020.0,227518.0
BE25,2020.0,1376404.0
BE31,2020.0,106702.0
BE32,2020.0,202563.0
BE33,2020.0,456294.0
BE34,2020.0,279160.0
BE35,2020.0,187838.0
BG31,2020.0,304913.0
BG32,2020.0,334851.0
BG33,2020.0,1035084.0
BG34,2020.0,1865414.0
BG41,2020.0,1128436.0
BG42,2020.0,1327352.0
CY00,2020.0,1092094.0
CZ01,2020.0,1195827.0
CZ02,2020.0,1011947.0
CZ03,2020.0,2153310.0
CZ04,2020.0,1749706.0
