region,year,temperature,precipitation
CZ02,2017,9.551732,474.9088
CZ02,2018,10.725858,325.8066
CZ02,2019,10.593266,415.52353
CZ02,2020,10.247871,491.3235
CZ02,2021,8.944337,516.46234
CZ02,2022,10.293684,534.63934
CZ02,2023,10.743083,490.1142
CZ03,2010,7.010243,1092.8555
CZ03,2011,8.456263,855.41345
CZ03,2012,8.243434,1003.3808
CZ03,2013,7.8720407,1024.3645
CZ03,2014,9.344486,972.5962
CZ03,2015,9.355737,812.335
CZ03,2016,8.592797,985.3363
CZ03,2017,8.496067,950.6521
CZ03,2018,9.493704,804.9688
CZ03,2019,9.393344,911.86426
CZ03,2020,9.119778,1010.3388
CZ03,2021,7.9579153,1127.5444
CZ03,2022,9.2931185,1117.054
CZ03,2023,9.663833,1019.99664
CZ04,2010,6.717369,512.1422
CZ04,2011,8.449513,365.9277
CZ04,2012,8.108541,422.7438
CZ04,2013,7.5910463,445.9934
CZ04,2014,9.226462,406.49988
CZ04,2015,9.218306,354.8603
CZ04,2016,8.538785,429.9488
CZ04,2017,8.489957,423.94733
CZ04,2018,9.512655,291.40662
CZ04,2019,9.4949045,370.04663
CZ04,2020,9.22805,416.9836
CZ04,2021,7.901524,482.399
CZ04,2022,9.309759,429.65125
CZ04,2023,9.704663,441.50925
CZ05,2010,6.9990354,897.8729
CZ05,2011,8.429484,644.24994
CZ05,2012,8.183704,785.8753
CZ05,2013,7.9189906,770.4544
CZ05,2014,9.487175,653.97644
CZ05,2015,9.306587,639.5445
CZ05,2016,8.595761,708.90045
CZ05,2017,8.424714,799.44037
CZ05,2018,9.540441,582.2649
CZ05,2019,9.541003,713.336
CZ05,2020,9.100589,841.012
CZ05,2021,8.04593,795.6209
CZ05,2022,9.154466,786.4647
CZ05,2023,9.611562,874.6004
CZ06,2010,7.8609295,908.21075
CZ06,2011,9.199606,609.1909
CZ06,2012,9.192282,696.18036
CZ06,2013,8.771836,774.48846
CZ06,2014,10.143631,779.767
CZ06,2015,10.115533,614.1958
CZ06,2016,9.363074,701.1776
CZ06,2017,9.27034,688.7341
CZ06,2018,10.2957115,601.2993
CZ06,2019,10.23626,716.75586
CZ06,2020,9.77281,856.2193
CZ06,2021,8.792455,790.9946
CZ06,2022,9.961293,738.3766
CZ06,2023,10.439636,790.8363
CZ07,2010,7.7747626,525.8904
CZ07,2011,8.835368,362.9732
CZ07,2012,8.939105,403.6236
CZ07,2013,8.63649,416.99982
CZ07,2014,10.120544,439.0545
CZ07,2015,9.771271,345.7928
CZ07,2016,9.181488,434.47113
CZ07,2017,8.970012,426.95428
CZ07,2018,10.082538,351.01224
CZ07,2019,10.110026,410.52057
CZ07,2020,9.514941,508.01468
CZ07,2021,8.592488,439.6782
CZ07,2022,9.624184,398.86285
CZ07,2023,10.128995,504.63486
CZ08,2010,7.3216577,441.69998
CZ08,2011,8.456203,323.5645
CZ08,2012,8.387378,351.09616
CZ08,2013,8.117406,351.9287
CZ08,2014,9.674994,381.89984
CZ08,2015,9.418169,282.9571
CZ08,2016,8.724498,404.5143
CZ08,2017,8.556505,402.17114
CZ08,2018,9.505843,302.59515
CZ08,2019,9.763967,341.56894
CZ08,2020,9.206018,419.74258
CZ08,2021,8.25744,374.69196
CZ08,2022,9.144464,372.24768
CZ08,2023,9.68883,426.5318
DE11,2010,8.200844,649.25
DE11,2011,9.940792,521.41956
DE11,2012,9.490644,571.71155
DE11,2013,8.8993435,651.82306
DE11,2014,10.569777,544.5614
DE11,2015,10.28876,470.89575
DE11,2016,9.679724,563.8313
DE11,2017,9.738487,601.553
DE11,2018,10.828816,482.4734
DE11,2019,10.281065,588.08234
DE11,2020,10.554615,566.18787
DE11,2021,9.099516,680.08234
DE11,2022,10.924586,591.79785
DE11,2023,10.945634,642.6344
DE12,2010,8.784305,589.1151
DE12,2011,10.610118,464.13327
DE12,2012,10.021075,534.0376
DE12,2013,9.411514,584.52606
DE12,2014,11.134175,504.74454
DE12,2015,10.884389,431.8676
DE12,2016,10.204437,525.9342
DE12,2017,10.336812,563.9515
DE12,2018,11.413521,422.02948
DE12,2019,10.904124,522.93494
DE12,2020,11.335111,474.9756
DE12,2021,9.711598,593.7729
DE12,2022,11.572955,526.59894
DE12,2023,11.596392,575.3498
DE13,2010,8.099835,675.18427
DE13,2011,9.832956,524.23474
DE13,2012,9.112515,658.432
DE13,2013,8.61411,692.26263
DE13,2014,10.227864,647.3379
DE13,2015,10.018077,538.7602
DE13,2016,9.375163,661.78705
DE13,2017,9.571686,642.45795
DE13,2018,10.510882,553.5469
DE13,2019,9.963196,635.2882
DE13,2020,10.475685,562.8519
DE13,2021,8.901805,706.584
DE13,2022,10.817746,555.3779
DE13,2023,10.835193,645.8979
DE14,2010,7.612131,764.8468
DE14,2011,9.347864,609.61053
DE14,2012,8.810948,697.258
DE14,2013,8.230355,732.57825
DE14,2014,9.799441,677.78015
DE14,2015,9.507373,591.07684
DE14,2016,9.003642,727.5257
DE14,2017,9.0886965,713.748
DE14,2018,10.007553,581.6269
DE14,2019,9.463323,705.36426
DE14,2020,9.783542,647.2807
DE14,2021,8.420077,814.9748
DE14,2022,10.164632,652.9751
DE14,2023,10.279567,723.28186
DE21,2010,7.7153234,1504.9171
DE21,2011,9.210734,1227.0623
DE21,2012,8.775654,1420.7811
DE21,2013,8.294463,1514.3147
DE21,2014,9.736386,1325.4833
DE21,2015,9.55257,1218.2693
DE21,2016,9.095421,1465.5094
DE21,2017,8.966016,1469.9144
DE21,2018,10.0304985,1251.4677
DE21,2019,9.595836,1473.8579
DE21,2020,9.509213,1427.104
DE21,2021,8.446936,1542.9487
DE21,2022,9.96551,1365.4518
DE21,2023,10.1843815,1476.5425
DE22,2010,8.135729,664.3562
DE22,2011,9.534758,567.17395
DE22,2012,9.3184805,647.36273
DE22,2013,8.964582,666.687
DE22,2014,10.286133,577.7979
DE22,2015,10.168402,535.9268
DE22,2016,9.523626,647.6154
DE22,2017,9.511947,642.2062
DE22,2018,10.634023,570.5204
DE22,2019,10.249009,624.55273
DE22,2020,9.954501,645.9341
DE22,2021,8.95234,713.1071
DE22,2022,10.435331,641.3479
DE22,2023,10.598409,682.7278
DE23,2010,7.4157376,589.68164
DE23,2011,8.967516,457.68927
DE23,2012,8.68446,490.39554
DE23,2013,8.249618,545.81067
DE23,2014,9.791088,470.14142
DE23,2015,9.632714,436.6312
DE23,2016,9.019912,503.05176
DE23,2017,8.898853,540.0353
DE23,2018,10.019139,428.05292
DE23,2019,9.769953,468.93884
DE23,2020,9.487766,506.18933
DE23,2021,8.323864,598.3038
DE23,2022,9.922558,532.36676
DE23,2023,10.044132,571.5761
DE24,2010,7.2209625,441.27844
DE24,2011,8.908137,348.02628
DE24,2012,8.466442,375.51022
DE24,2013,7.9913387,409.45624
DE24,2014,9.701416,363.86395
DE24,2015,9.430217,331.63263
DE24,2016,8.814838,370.7199
DE24,2017,8.747608,414.78348
DE24,2018,9.907337,298.50674
DE24,2019,9.677704,357.98456
DE24,2020,9.47069,378.19672
