region,year,population
FRD1,1997,1416140.0
FRD2,1997,1776332.0
FRE1,1997,3994535.0
FRE2,1997,1855412.0
FRF1,1997,1710779.0
FRF2,1997,1347927.0
FRF3,1997,2316244.0
FRG0,1997,3182305.0
FRH0,1997,2870354.0
FRI1,1997,2876822.0
FRI2,1997,714047.0
FRI3,1997,1628078.0
FRJ1,1997,2249187.0
FRJ2,1997,2520325.0
FRK1,1997,1310231.0
FRK2,1997,5580618.0
FRL0,1997,4451004.0
FRM0,1997,259097.0
FRY2,1997,373873.0
FRY3,1997,144937.0
FRY4,1997,680185.0
LI00,1997,31143.0
LU00,1997,416850.0
MK00,1997,1991398.0
MT00,1997,373958.0
PL21,1997,3197064.0
PL22,1997,4902913.0
PL41,1997,3339757.0
PL42,1997,1725756.0
PL43,1997,1017596.0
PL51,1997,2986884.0
PL52,1997,1092524.0
PL61,1997,2095819.0
PL62,1997,1456724.0
PL63,1997,2172540.0
PT11,1997,3587839.0
PT15,1997,366996.0
PT16,1997,2297278.0
PT17,1997,2572657.0
PT18,1997,776279.0
PT20,1997,239935.0
PT30,1997,243212.0
RO11,1997,2869047.0
RO12,1997,2663893.0
RO21,1997,3787028.0
RO22,1997,2947564.0
RO31,1997,3504998.0
RO32,1997,2307700.0
RO41,1997,2425831.0
RO42,1997,2075801.0
UKC1,1997,1152180.0
UKC2,1997,1420078.0
UKD1,1997,487458.0
