region,year,gdp
TRB2,2002,2461.23
TRC1,2002,4369.47
TRC2,2002,4710.09
TRC3,2002,2891.03
AT11,2003,5260.05
AT12,2003,35260.37
AT13,2003,61305.3
AT21,2003,13493.37
AT22,2003,29768.51
AT31,2003,38815.97
AT32,2003,16380.41
AT33,2003,19793.78
AT34,2003,10355.48
ATZZ,2003,109.75
BE10,2003,54681.25
BE21,2003,52247.68
BE22,2003,18221.31
BE23,2003,33095.91
BE24,2003,28543.06
BE25,2003,28731.74
BE31,2003,9715.17
BE32,2003,22360.62
BE33,2003,20222.03
BE34,2003,4691.4
BE35,2003,8404.1
BEZZ,2003,285.93
BG31,2003,1922.44
BG32,2003,1885.84
BG33,2003,2146.25
BG34,2003,2545.47
BG41,2003,7389.16
BG42,2003,2909.14
CY00,2003,12871.33
CZ01,2003,21748.75
CZ02,2003,9667.74
CZ03,2003,9347.75
CZ04,2003,7935.88
CZ05,2003,10897.14
CZ06,2003,12716.77
CZ07,2003,8344.33
CZ08,2003,8307.18
DE11,2003,141622.6
DE12,2003,84875.28
DE13,2003,56787.23
DE14,2003,49947.88
DE21,2003,165143.67
DE22,2003,29728.49
DE23,2003,28289.79
DE24,2003,26179.26
DE25,2003,49735.79
DE26,2003,35912.25
DE27,2003,46736.12
DE30,2003,86560.85
DE40,2003,47493.21
DE50,2003,24544.82
DE60,2003,84992.77
DE71,2003,151232.98
DE72,2003,25601.03
DE73,2003,32809.64
DE80,2003,30572.4
DE91,2003,46794.25
DE92,2003,55121.99
DE93,2003,31855.03
DE94,2003,56128.52
DEA1,2003,156652.64
DEA2,2003,131628.18
DEA3,2003,60015.77
DEA4,2003,52779.92
DEA5,2003,88771.65
DEB1,2003,34604.38
DEB2,2003,11263.83
DEB3,2003,52084.2
DEC0,2003,26572.65
DED2,2003,33967.78
DED4,2003,29444.71
DED5,2003,20328.2
DEE0,2003,45312.76
DEF0,2003,66149.06
DEG0,2003,42568.52
DK01,2003,70334.32
DK02,2003,21031.68
DK03,2003,38402.17
DK04,2003,40418.15
DK05,2003,18495.61
DKZZ,2003,4959.76
EE00,2003,8746.71
EL30,2003,80751.08
EL41,2003,2405.73
EL42,2003,5485.63
EL43,2003,8544.95
EL51,2003,6860.07
EL52,2003,23774.31
EL53,2003,4078.24
EL54,2003,4049.18
EL61,2003,9545.32
EL62,2003,3273.06
EL63,2003,8562.23
EL64,2003,9036.95
EL65,2003,7729.25
ES11,2003,41139.8
ES12,2003,17036.4
ES13,2003,9699.4
ES21,2003,48403.7
ES22,2003,13652.2
ES23,2003,6021.5
ES24,2003,25329.1
ES30,2003,142555.3
ES41,2003,42711.0
ES42,2003,28278.8
ES43,2003,13574.3
ES51,2003,151640.4
ES52,2003,78235.0
ES53,2003,19868.0
ES61,2003,110093.6
ES62,2003,20644.9
ES63,2003,1109.6
ES64,2003,1011.6
ES70,2003,31104.8
ESZZ,2003,573.7
FI19,2003,34437.04
FI1B,2003,55062.84
FI1C,2003,30576.49
FI1D,2003,30584.01
FI20,2003,992.29
FIZZ,2003,61.32
FR10,2003,463126.4
FRB0,2003,57791.9
FRC1,2003,36309.2
FRC2,2003,26620.6
FRD1,2003,32607.4
FRD2,2003,42505.2
FRE1,2003,81992.8
FRE2,2003,39303.5
FRF1,2003,45885.7
FRF2,2003,31308.3
FRF3,2003,49503.7
FRG0,2003,78685.0
FRH0,2003,67159.0
FRI1,2003,71468.1
FRI2,2003,15400.0
FRI3,2003,36851.0
FRJ1,2003,52296.6
FRJ2,2003,61079.3
FRK1,2003,27796.3
FRK2,2003,153912.5
FRL0,2003,115746.3
FRM0,2003,5804.8
FRY1,2003,6782.6
FRY2,2003,6362.3
FRY3,2003,2602.9
FRY4,2003,11912.4
FRY5,2003,673.7
FRZZ,2003,825.3
HR02,2003,6560.01
HR03,2003,9836.08
HR05,2003,9558.35
HR06,2003,5061.81
HU11,2003,25770.82
HU12,2003,7392.33
HU21,2003,7628.78
HU22,2003,8175.9
HU23,2003,5270.66
HU31,2003,6074.75
HU32,2003,7854.9
HU33,2003,7176.04
HUZZ,2003,0.0
IE04,2003,17280.65
IE05,2003,44431.67
IE06,2003,83864.53
ITC1,2003,109885.46
ITC2,2003,4036.53
ITC3,2003,40691.03
ITC4,2003,300211.59
ITF1,2003,26182.75
ITF2,2003,6049.37
